$N$;Logo 500 08.11.23
$T$;0;yyyyMMdd HHmmss.f
$C$;Empfängerspannung [V];Empfänger LQI [%];Akku Spannung [V];Akku Strom [A];Verbrauchte Kapazität [mAh];Drehzahl (RPM) [1/min];Höhe [m];Restladung [m/s];Absolute Höhe [m];Leistung [W]
$20231108 110721.3;5.5;100;22.2;0.1;2549;1530;0;;369;2.2
$20231108 110721.8;5.6;100;22.2;0.0;2549;1460;0;;369;0.0
$20231108 110722.3;5.6;100;22.2;0.0;2549;1390;0;;369;0.0
$20231108 110722.8;5.6;100;22.2;0.0;2549;1260;0;;369;0.0
$20231108 110723.3;5.6;100;22.2;0.0;2549;1220;0;;369;0.0
$20231108 110723.8;5.6;100;22.2;0.0;2549;1160;0;;369;0.0
$20231108 110724.3;5.6;100;22.2;0.0;2549;1120;0;;369;0.0
$20231108 110724.8;5.6;100;22.3;0.0;2549;1030;0;;369;0.0
$20231108 110725.3;5.6;100;22.3;0.0;2549;1030;0;;369;0.0
$20231108 110725.8;5.5;100;22.3;0.0;2549;940;0;;369;0.0
$20231108 110726.3;5.6;100;22.3;0.0;2549;910;0;;369;0.0
$20231108 110726.8;5.6;100;22.3;0.0;2549;870;0;;369;0.0
$20231108 110727.3;5.6;100;22.3;0.0;2549;830;0;;369;0.0
$20231108 110727.8;5.6;100;22.3;0.0;2549;770;0;;369;0.0
$20231108 110728.3;5.6;100;22.3;0.0;2549;750;0;;369;0.0
$20231108 110728.8;5.6;100;22.3;0.0;2549;710;0;;369;0.0
