Time, LQI, Audio files, Jeti, RSSI, HOPPING, Altitude, Distance
00:01, 000%, 5, 025%, -87dBm, 001, 3, 9
00:02, 000%, 0, 025%, -89dBm, 001, 9, 21
00:03, 000%, 0, 025%, -89dBm, 001, 19, 33
00:04, 000%, 0, 025%, -89dBm, 001, 29, 46
00:05, 000%, 0, 025%, -89dBm, 001, 38, 58
00:06, 000%, 1, 025%, -88dBm, 001, 48, 71
00:07, 000%, 1, 025%, -87dBm, 001, 56, 81
00:08, 000%, 2, 025%, -88dBm, 001, 65, 93
00:09, 000%, 1, 025%, -88dBm, 001, 74, 103
00:10, 000%, 2, 025%, -87dBm, 001, 82, 112
00:11, 000%, 0, 025%, -90dBm, 001, 91, 123
00:12, 000%, 0, 025%, -90dBm, 001, 99, 131
00:13, 000%, 2, 025%, -89dBm, 001, 107, 141
00:14, 000%, 1, 025%, -80dBm, 001, 117, 153
00:15, 000%, 2, 025%, -82dBm, 001, 126, 165
00:16, 000%, 1, 025%, -87dBm, 001, 134, 175
00:17, 000%, 1, 025%, -89dBm, 001, 143, 183
00:18, 000%, 2, 025%, -87dBm, 001, 154, 190
00:19, 000%, 1, 025%, -86dBm, 001, 163, 192
00:20, 000%, 2, 025%, -81dBm, 001, 172, 190
00:21, 000%, 2, 025%, -82dBm, 001, 178, 183
00:22, 000%, 1, 025%, -81dBm, 001, 181, 173
00:23, 000%, 0, 025%, -84dBm, 001, 185, 159
00:24, 000%, 0, 025%, -86dBm, 001, 187, 149
00:25, 000%, 0, 025%, -86dBm, 001, 190, 140
00:26, 000%, 0, 025%, -86dBm, 001, 191, 130
00:27, 000%, 0, 025%, -85dBm, 001, 190, 122
00:28, 000%, 0, 025%, -87dBm, 001, 187, 113
00:29, 000%, 0, 025%, -87dBm, 001, 184, 104
00:30, 000%, 0, 025%, -86dBm, 001, 183, 92
00:31, 000%, 0, 025%, -86dBm, 001, 184, 80
00:32, 000%, 0, 025%, -87dBm, 001, 185, 75
00:33, 000%, 0, 025%, -87dBm, 001, 184, 77
00:34, 000%, 0, 025%, -87dBm, 001, 182, 84
00:35, 000%, 2, 025%, -86dBm, 001, 180, 88
00:36, 000%, 0, 025%, -90dBm, 001, 177, 92
00:37, 000%, 1, 025%, -89dBm, 001, 176, 93
00:38, 000%, 1, 025%, -91dBm, 001, 175, 95
00:39, 000%, 0, 025%, -87dBm, 001, 174, 98
00:40, 000%, 0, 025%, -89dBm, 001, 174, 101
00:41, 000%, 0, 025%, -90dBm, 001, 174, 105
00:42, 000%, 0, 025%, -90dBm, 001, 173, 111
00:43, 000%, 0, 025%, -87dBm, 001, 173, 120
00:44, 000%, 0, 025%, -89dBm, 001, 172, 129
00:45, 000%, 0, 025%, -88dBm, 001, 172, 138
00:46, 000%, 0, 025%, -90dBm, 001, 172, 147
00:47, 000%, 0, 025%, -86dBm, 001, 171, 155
00:48, 000%, 0, 025%, -90dBm, 001, 170, 160
00:49, 000%, 0, 025%, -90dBm, 001, 168, 167
00:50, 000%, 2, 025%, -90dBm, 001, 166, 171
00:51, 000%, 0, 025%, -87dBm, 001, 166, 179
00:52, 000%, 0, 025%, -90dBm, 001, 168, 190
00:53, 000%, 0, 025%, -88dBm, 001, 168, 198
00:54, 000%, 0, 025%, -90dBm, 001, 167, 207
00:55, 000%, 0, 025%, -90dBm, 001, 167, 216
00:56, 000%, 0, 025%, -90dBm, 001, 167, 226
00:57, 000%, 0, 025%, -89dBm, 001, 167, 235
00:58, 000%, 0, 025%, -89dBm, 001, 165, 240
00:59, 000%, 0, 025%, -89dBm, 001, 163, 241
01:00, 000%, 0, 025%, -89dBm, 001, 161, 237
01:01, 000%, 0, 025%, -90dBm, 001, 159, 230
01:02, 000%, 0, 025%, -89dBm, 001, 157, 223
01:03, 000%, 0, 025%, -90dBm, 001, 156, 218
01:04, 000%, 0, 025%, -88dBm, 001, 157, 218
01:05, 000%, 1, 025%, -90dBm, 001, 159, 219
01:06, 000%, 1, 025%, -87dBm, 001, 159, 219
01:07, 000%, 0, 025%, -82dBm, 001, 159, 219
01:08, 000%, 0, 025%, -82dBm, 001, 159, 218
01:09, 000%, 0, 025%, -81dBm, 001, 158, 218
01:10, 000%, 0, 025%, -81dBm, 001, 157, 217
01:11, 000%, 0, 025%, -80dBm, 001, 156, 219
