Time, LQI, Audio files, Jeti, RSSI, HOPPING, Altitude, Distance
00:01, 050%, 0, 000%, -19dBm, 001, 0, 5
00:02, 025%, 0, 000%, -48dBm, 001, 1, 11
00:03, 050%, 0, 000%, -52dBm, 001, 2, 20
00:04, 050%, 0, 000%, -56dBm, 001, 2, 24
00:05, 045%, 0, 000%, -54dBm, 001, 3, 30
00:06, 100%, 0, 000%, -56dBm, 001, 4, 40
00:07, 100%, 0, 000%, -57dBm, 001, 5, 48
00:08, 100%, 0, 000%, -59dBm, 001, 7, 58
00:09, 100%, 0, 000%, -50dBm, 001, 9, 66
00:10, 090%, 0, 000%, -51dBm, 001, 11, 73
00:11, 100%, 0, 000%, -52dBm, 001, 12, 78
00:12, 100%, 0, 000%, -47dBm, 001, 13, 80
00:13, 100%, 0, 000%, -46dBm, 001, 14, 76
00:14, 100%, 0, 000%, -54dBm, 001, 15, 68
00:15, 100%, 0, 000%, -54dBm, 001, 14, 55
00:16, 100%, 0, 000%, -52dBm, 001, 14, 45
00:17, 100%, 0, 000%, -48dBm, 001, 16, 46
00:18, 100%, 0, 000%, -57dBm, 001, 18, 52
00:20, 100%, 0, 000%, -55dBm, 001, 18, 56
00:21, 100%, 0, 000%, -55dBm, 001, 17, 56
00:22, 090%, 0, 000%, -59dBm, 001, 15, 52
00:23, 090%, 0, 000%, -62dBm, 001, 13, 48
00:24, 100%, 0, 000%, -57dBm, 001, 16, 56
00:24, 100%, 0, 000%, -53dBm, 001, 19, 66
00:25, 100%, 0, 000%, -56dBm, 001, 18, 74
00:26, 100%, 0, 000%, -57dBm, 001, 20, 85
00:27, 100%, 0, 000%, -55dBm, 001, 23, 94
00:28, 100%, 0, 000%, -53dBm, 001, 25, 101
00:29, 100%, 0, 000%, -47dBm, 001, 27, 106
00:31, 100%, 0, 000%, -46dBm, 001, 29, 112
00:32, 100%, 0, 000%, -45dBm, 001, 28, 115
00:33, 090%, 0, 000%, -42dBm, 001, 25, 117
00:34, 100%, 0, 000%, -42dBm, 001, 22, 111
00:35, 100%, 0, 000%, -43dBm, 001, 22, 98
00:36, 100%, 0, 000%, -42dBm, 001, 23, 85
00:36, 100%, 0, 000%, -47dBm, 001, 24, 71
00:37, 100%, 0, 000%, -43dBm, 001, 20, 57
00:38, 100%, 0, 000%, -49dBm, 001, 15, 48
00:39, 090%, 0, 000%, -47dBm, 001, 12, 50
00:41, 100%, 0, 000%, -58dBm, 001, 12, 64
00:42, 100%, 0, 000%, -58dBm, 001, 15, 80
00:43, 060%, 0, 000%, -70dBm, 001, 18, 95
00:44, 090%, 0, 000%, -66dBm, 001, 22, 107
00:45, 095%, 0, 000%, -50dBm, 001, 23, 108
00:46, 100%, 0, 000%, -48dBm, 001, 22, 97
00:47, 090%, 0, 000%, -44dBm, 001, 19, 79
00:48, 100%, 0, 000%, -41dBm, 001, 14, 61
00:49, 090%, 0, 000%, -40dBm, 001, 11, 44
00:50, 100%, 0, 000%, -43dBm, 001, 13, 43
00:51, 070%, 0, 000%, -56dBm, 001, 15, 52
00:52, 100%, 0, 000%, -50dBm, 001, 17, 65
00:53, 100%, 0, 000%, -58dBm, 001, 18, 77
00:54, 100%, 0, 000%, -57dBm, 001, 19, 89
00:55, 100%, 0, 000%, -52dBm, 001, 18, 102
00:56, 100%, 0, 000%, -58dBm, 001, 18, 114
00:57, 100%, 0, 000%, -47dBm, 001, 18, 122
00:57, 100%, 0, 000%, -41dBm, 001, 19, 127
00:58, 100%, 0, 000%, -41dBm, 001, 19, 131
00:59, 090%, 0, 000%, -41dBm, 001, 18, 130
01:00, 100%, 0, 000%, -42dBm, 001, 17, 129
01:02, 100%, 0, 000%, -44dBm, 001, 17, 122
01:03, 100%, 0, 000%, -35dBm, 001, 18, 112
01:04, 100%, 0, 000%, -33dBm, 001, 18, 100
01:05, 100%, 0, 000%, -33dBm, 001, 16, 83
01:06, 100%, 0, 000%, -33dBm, 001, 17, 70
01:07, 095%, 0, 000%, -31dBm, 001, 17, 60
01:08, 090%, 0, 000%, -46dBm, 001, 19, 61
01:09, 095%, 0, 000%, -62dBm, 001, 21, 68
01:10, 090%, 0, 000%, -63dBm, 001, 20, 76
01:11, 095%, 0, 000%, -61dBm, 001, 18, 76
01:12, 090%, 0, 000%, -54dBm, 001, 15, 68
01:13, 100%, 0, 000%, -49dBm, 001, 13, 61
01:14, 100%, 0, 000%, -48dBm, 001, 13, 61
01:15, 100%, 0, 000%, -52dBm, 001, 14, 66
01:16, 090%, 0, 000%, -54dBm, 001, 15, 75
01:16, 100%, 0, 000%, -54dBm, 001, 14, 85
01:17, 100%, 0, 000%, -54dBm, 001, 15, 96
01:18, 100%, 0, 000%, -52dBm, 001, 16, 108
01:19, 100%, 0, 000%, -40dBm, 001, 16, 119
01:20, 100%, 0, 000%, -39dBm, 001, 16, 127
01:21, 100%, 0, 000%, -37dBm, 001, 16, 130
01:23, 100%, 0, 000%, -37dBm, 001, 16, 128
01:24, 100%, 0, 000%, -36dBm, 001, 14, 120
01:25, 100%, 0, 000%, -34dBm, 001, 14, 106
01:26, 100%, 0, 000%, -33dBm, 001, 14, 89
01:27, 095%, 0, 000%, -36dBm, 001, 11, 68
01:28, 080%, 0, 000%, -51dBm, 001, 9, 49
01:29, 095%, 0, 000%, -52dBm, 001, 8, 27
01:30, 105%, 0, 000%, -49dBm, 001, 9, 20
01:31, 100%, 0, 000%, -55dBm, 001, 10, 26
01:32, 100%, 0, 000%, -63dBm, 001, 12, 40
01:33, 100%, 0, 000%, -60dBm, 001, 15, 50
01:34, 100%, 0, 000%, -58dBm, 001, 17, 54
01:35, 100%, 0, 000%, -54dBm, 001, 17, 50
01:35, 100%, 0, 000%, -53dBm, 001, 16, 40
01:36, 090%, 0, 000%, -53dBm, 001, 14, 32
01:37, 100%, 0, 000%, -61dBm, 001, 12, 26
01:38, 100%, 0, 000%, -62dBm, 001, 12, 25
01:39, 085%, 0, 000%, -62dBm, 001, 12, 32
01:40, 100%, 0, 000%, -57dBm, 001, 11, 42
01:41, 100%, 0, 000%, -56dBm, 001, 8, 53
01:42, 100%, 0, 000%, -53dBm, 001, 5, 67
01:44, 095%, 0, 000%, -49dBm, 001, 0, 81
01:45, 105%, 0, 000%, -54dBm, 001, -4, 96
01:46, 100%, 0, 000%, -63dBm, 001, -3, 113
01:47, 095%, 0, 000%, -47dBm, 001, 2, 124
01:48, 105%, 0, 000%, -39dBm, 001, 5, 132
01:49, 100%, 0, 000%, -39dBm, 001, 6, 135
01:50, 100%, 0, 000%, -42dBm, 001, 4, 129
01:50, 100%, 0, 000%, -39dBm, 001, 4, 115
01:51, 100%, 0, 000%, -38dBm, 001, 3, 98
01:52, 100%, 0, 000%, -38dBm, 001, 2, 82
01:53, 100%, 0, 000%, -41dBm, 001, 1, 66
01:54, 100%, 0, 000%, -41dBm, 001, 1, 62
01:55, 085%, 0, 000%, -53dBm, 001, 3, 68
