Time, LQI, Audio files, Jeti, RSSI, HOPPING, Altitude, Distance
00:01, 050%, 0, 025%, -22dBm, 001, 1, 8
00:02, 025%, 0, 025%, -44dBm, 001, 1, 17
00:03, 050%, 0, 025%, -53dBm, 001, 0, 25
00:04, 050%, 0, 025%, -54dBm, 001, 0, 32
00:05, 040%, 0, 025%, -57dBm, 001, -1, 42
00:06, 085%, 0, 025%, -56dBm, 001, -1, 52
00:07, 100%, 0, 025%, -58dBm, 001, -2, 62
00:08, 100%, 0, 025%, -56dBm, 001, -3, 70
00:09, 100%, 0, 025%, -58dBm, 001, -2, 81
00:10, 100%, 0, 025%, -58dBm, 001, 0, 89
00:11, 090%, 0, 025%, -55dBm, 001, 1, 98
00:12, 100%, 0, 025%, -57dBm, 001, 1, 106
00:12, 100%, 0, 025%, -58dBm, 001, 1, 116
00:13, 100%, 0, 025%, -50dBm, 001, -2, 125
00:14, 100%, 0, 025%, -51dBm, 001, -4, 136
00:15, 100%, 0, 025%, -50dBm, 001, -2, 149
00:17, 100%, 0, 025%, -52dBm, 001, -2, 159
00:18, 100%, 0, 025%, -51dBm, 001, -5, 166
00:19, 070%, 0, 025%, -50dBm, 001, -5, 181
00:20, 100%, 0, 025%, -48dBm, 001, -3, 188
00:21, 100%, 0, 025%, -44dBm, 001, -2, 191
00:22, 100%, 0, 025%, -45dBm, 001, -5, 190
00:23, 100%, 0, 025%, -47dBm, 001, -9, 184
00:24, 100%, 0, 025%, -48dBm, 001, -10, 179
00:25, 100%, 0, 025%, -53dBm, 001, -9, 177
00:26, 100%, 0, 025%, -52dBm, 001, -5, 177
00:27, 100%, 0, 020%, -49dBm, 001, 4, 185
00:28, 100%, 0, 025%, -47dBm, 001, 16, 194
00:29, 095%, 0, 025%, -50dBm, 001, 26, 203
00:30, 100%, 0, 025%, -49dBm, 001, 37, 212
00:31, 100%, 0, 025%, -52dBm, 001, 46, 222
00:32, 100%, 1, 025%, -53dBm, 001, 54, 230
00:33, 100%, 2, 025%, -52dBm, 001, 62, 239
00:33, 100%, 0, 025%, -56dBm, 001, 63, 245
00:34, 100%, 0, 025%, -57dBm, 001, 65, 249
00:35, 100%, 0, 020%, -58dBm, 001, 66, 250
00:36, 100%, 0, 025%, -59dBm, 001, 65, 250
00:37, 095%, 0, 025%, -61dBm, 001, 63, 245
00:38, 100%, 0, 025%, -53dBm, 001, 62, 236
00:40, 100%, 0, 025%, -50dBm, 001, 61, 225
00:41, 100%, 0, 025%, -56dBm, 001, 60, 212
00:42, 100%, 0, 025%, -58dBm, 001, 60, 198
00:43, 100%, 0, 025%, -56dBm, 001, 56, 182
00:44, 100%, 0, 025%, -54dBm, 001, 53, 166
00:45, 100%, 0, 025%, -48dBm, 001, 53, 154
