Time, LQI, Audio files, Jeti, RSSI, HOPPING, Altitude, Distance
00:01, 050%, 0, 000%, -20dBm, 001, 6, 12
00:02, 030%, 0, 000%, -45dBm, 001, 15, 23
00:03, 050%, 0, 000%, -56dBm, 001, 24, 35
00:03, 050%, 0, 000%, -57dBm, 001, 31, 40
00:04, 025%, 0, 000%, -67dBm, 001, 46, 59
00:05, 085%, 0, 000%, -58dBm, 001, 55, 72
00:06, 100%, 2, 000%, -47dBm, 001, 65, 83
00:07, 090%, 1, 000%, -39dBm, 001, 74, 93
00:09, 100%, 1, 000%, -43dBm, 001, 84, 104
00:10, 100%, 0, 000%, -49dBm, 001, 94, 113
00:11, 100%, 0, 000%, -45dBm, 001, 103, 125
00:12, 095%, 1, 000%, -45dBm, 001, 113, 137
00:13, 075%, 2, 000%, -58dBm, 001, 121, 148
00:14, 100%, 2, 000%, -50dBm, 001, 132, 159
00:15, 100%, 0, 000%, -49dBm, 001, 143, 165
00:16, 095%, 0, 000%, -54dBm, 001, 152, 170
00:17, 095%, 1, 000%, -57dBm, 001, 161, 176
00:17, 100%, 2, 000%, -54dBm, 001, 169, 177
00:18, 090%, 2, 000%, -61dBm, 001, 177, 176
00:19, 080%, 1, 000%, -49dBm, 001, 186, 174
00:20, 095%, 0, 000%, -48dBm, 001, 190, 172
00:21, 100%, 0, 000%, -45dBm, 001, 194, 168
00:22, 100%, 1, 000%, -58dBm, 001, 197, 163
00:23, 100%, 2, 000%, -49dBm, 001, 197, 156
00:24, 100%, 0, 000%, -49dBm, 001, 195, 147
00:25, 100%, 0, 000%, -52dBm, 001, 193, 136
00:26, 100%, 0, 000%, -50dBm, 001, 191, 126
00:27, 100%, 0, 000%, -48dBm, 001, 191, 115
00:28, 100%, 1, 000%, -48dBm, 001, 192, 106
00:29, 100%, 1, 000%, -50dBm, 001, 192, 98
00:30, 090%, 0, 000%, -54dBm, 001, 193, 91
00:32, 100%, 1, 000%, -57dBm, 001, 194, 86
00:33, 100%, 1, 000%, -57dBm, 001, 194, 81
00:34, 100%, 0, 000%, -55dBm, 001, 193, 78
00:35, 095%, 2, 000%, -56dBm, 001, 192, 76
00:36, 105%, 0, 000%, -53dBm, 001, 190, 77
00:37, 090%, 0, 000%, -56dBm, 001, 189, 81
00:38, 100%, 1, 000%, -59dBm, 001, 189, 86
00:38, 100%, 1, 000%, -55dBm, 001, 190, 93
00:39, 100%, 0, 000%, -57dBm, 001, 190, 99
00:40, 100%, 0, 000%, -58dBm, 001, 191, 106
00:41, 090%, 0, 000%, -56dBm, 001, 191, 112
