Time, LQI, Audio files, Jeti, RSSI, HOPPING, Altitude, Distance
00:01, 000%, 0, 025%, -109dBm, 001, 11, 9
00:02, 000%, 0, 025%, -109dBm, 001, 23, 18
00:03, 000%, 1, 025%, -109dBm, 001, 34, 25
00:04, 000%, 2, 025%, -109dBm, 001, 46, 35
00:05, 000%, 1, 025%, -110dBm, 001, 56, 42
00:06, 000%, 1, 025%, -109dBm, 001, 68, 49
00:07, 000%, 2, 025%, -110dBm, 001, 77, 59
00:08, 000%, 1, 025%, -109dBm, 001, 87, 71
00:09, 000%, 2, 025%, -108dBm, 001, 95, 76
00:10, 000%, 1, 025%, -110dBm, 001, 107, 86
00:11, 000%, 2, 025%, -109dBm, 001, 117, 96
00:12, 000%, 1, 025%, -109dBm, 001, 128, 106
00:13, 000%, 2, 025%, -108dBm, 001, 137, 114
00:14, 000%, 2, 025%, -108dBm, 001, 146, 118
00:15, 000%, 2, 025%, -109dBm, 001, 154, 117
00:16, 000%, 1, 025%, -108dBm, 001, 162, 108
00:17, 000%, 1, 025%, -109dBm, 001, 164, 92
00:18, 000%, 2, 025%, -109dBm, 001, 163, 73
00:19, 000%, 2, 025%, -109dBm, 001, 173, 77
00:20, 000%, 1, 025%, -110dBm, 001, 189, 85
00:21, 000%, 0, 025%, -109dBm, 001, 201, 93
00:22, 000%, 0, 025%, -109dBm, 001, 205, 97
00:23, 000%, 2, 025%, -109dBm, 001, 206, 98
00:24, 000%, 1, 025%, -109dBm, 001, 200, 98
00:25, 000%, 1, 025%, -109dBm, 001, 200, 97
00:26, 000%, 0, 025%, -109dBm, 001, 201, 97
00:27, 000%, 0, 025%, -109dBm, 001, 202, 97
00:28, 000%, 0, 025%, -109dBm, 001, 202, 99
00:29, 000%, 0, 025%, -109dBm, 001, 202, 98
00:30, 000%, 2, 025%, -109dBm, 001, 201, 96
00:31, 000%, 1, 025%, -109dBm, 001, 200, 97
00:32, 000%, 0, 025%, -109dBm, 001, 200, 98
00:33, 000%, 0, 025%, -109dBm, 001, 201, 100
00:34, 000%, 1, 025%, -109dBm, 001, 202, 105
00:35, 000%, 1, 025%, -109dBm, 001, 203, 110
00:36, 000%, 0, 025%, -108dBm, 001, 203, 116
00:37, 000%, 0, 025%, -108dBm, 001, 204, 124
00:38, 000%, 0, 025%, -108dBm, 001, 205, 130
00:39, 000%, 0, 025%, -108dBm, 001, 207, 136
00:40, 000%, 0, 025%, -109dBm, 001, 208, 141
00:41, 000%, 0, 025%, -109dBm, 001, 208, 147
00:42, 000%, 0, 025%, -109dBm, 001, 209, 152
00:43, 000%, 1, 025%, -110dBm, 001, 211, 157
