Time, LQI, Audio files, Jeti, RSSI, HOPPING, Altitude, Distance
00:01, 000%, 0, 025%, -109dBm, 001, 7, 10
00:02, 000%, 0, 025%, -109dBm, 001, 16, 19
00:03, 000%, 0, 025%, -109dBm, 001, 25, 31
00:04, 000%, 0, 025%, -109dBm, 001, 30, 41
00:05, 000%, 0, 025%, -108dBm, 001, 42, 55
00:06, 000%, 1, 025%, -109dBm, 001, 50, 67
00:07, 000%, 1, 025%, -110dBm, 001, 61, 78
00:08, 000%, 2, 025%, -109dBm, 001, 71, 90
00:09, 000%, 1, 025%, -109dBm, 001, 77, 102
00:10, 000%, 2, 025%, -109dBm, 001, 86, 116
00:11, 000%, 1, 025%, -108dBm, 001, 93, 128
00:12, 000%, 2, 025%, -110dBm, 001, 102, 141
00:13, 000%, 2, 025%, -109dBm, 001, 110, 152
00:14, 000%, 1, 025%, -109dBm, 001, 119, 164
00:15, 000%, 2, 025%, -109dBm, 001, 128, 178
00:16, 000%, 1, 025%, -108dBm, 001, 137, 191
00:17, 000%, 2, 025%, -109dBm, 001, 144, 202
00:18, 000%, 2, 025%, -109dBm, 001, 154, 208
00:19, 000%, 1, 025%, -110dBm, 001, 165, 211
00:20, 000%, 2, 025%, -109dBm, 001, 177, 209
00:21, 000%, 2, 025%, -109dBm, 001, 188, 205
00:22, 000%, 2, 025%, -109dBm, 001, 198, 195
00:23, 000%, 1, 025%, -109dBm, 001, 204, 179
00:24, 000%, 2, 025%, -108dBm, 001, 208, 164
00:25, 000%, 2, 025%, -109dBm, 001, 214, 158
00:26, 000%, 1, 025%, -109dBm, 001, 218, 156
00:27, 000%, 0, 025%, -109dBm, 001, 222, 160
00:28, 000%, 0, 025%, -109dBm, 001, 223, 163
00:29, 000%, 0, 025%, -110dBm, 001, 224, 169
00:30, 000%, 0, 025%, -109dBm, 001, 225, 174
00:31, 000%, 0, 025%, -108dBm, 001, 224, 179
00:32, 000%, 0, 025%, -109dBm, 001, 223, 181
00:33, 000%, 0, 025%, -109dBm, 001, 222, 179
00:34, 000%, 0, 025%, -110dBm, 001, 222, 174
00:35, 000%, 0, 025%, -108dBm, 001, 220, 167
00:36, 000%, 1, 025%, -109dBm, 001, 219, 157
00:37, 000%, 1, 025%, -109dBm, 001, 216, 148
00:38, 000%, 0, 025%, -108dBm, 001, 214, 142
00:39, 000%, 1, 025%, -109dBm, 001, 212, 138
00:40, 000%, 1, 025%, -109dBm, 001, 213, 137
00:41, 000%, 1, 025%, -110dBm, 001, 215, 136
00:42, 000%, 1, 025%, -110dBm, 001, 216, 136
00:43, 000%, 0, 025%, -109dBm, 001, 215, 138
00:44, 000%, 1, 025%, -109dBm, 001, 214, 141
00:45, 000%, 1, 025%, -109dBm, 001, 213, 145
00:46, 000%, 0, 025%, -108dBm, 001, 213, 148
00:47, 000%, 0, 025%, -109dBm, 001, 212, 152
00:48, 000%, 0, 025%, -109dBm, 001, 211, 157
00:49, 000%, 0, 025%, -109dBm, 001, 210, 163
00:50, 000%, 0, 025%, -109dBm, 001, 209, 170
00:51, 000%, 0, 025%, -109dBm, 001, 209, 177
00:52, 000%, 0, 025%, -109dBm, 001, 208, 182
00:53, 000%, 1, 025%, -109dBm, 001, 207, 188
00:54, 000%, 1, 025%, -109dBm, 001, 207, 196
00:55, 000%, 0, 025%, -109dBm, 001, 206, 203
00:56, 000%, 0, 025%, -109dBm, 001, 205, 210
00:57, 000%, 0, 025%, -108dBm, 001, 203, 216
00:58, 000%, 1, 025%, -109dBm, 001, 202, 222
00:59, 000%, 1, 025%, -110dBm, 001, 202, 228
01:00, 000%, 0, 025%, -109dBm, 001, 202, 233
01:01, 000%, 1, 025%, -109dBm, 001, 202, 241
01:02, 000%, 1, 025%, -109dBm, 001, 202, 247
01:03, 000%, 0, 025%, -109dBm, 001, 202, 256
01:04, 000%, 0, 025%, -109dBm, 001, 202, 263
01:05, 000%, 0, 025%, -109dBm, 001, 201, 269
01:06, 000%, 0, 025%, -110dBm, 001, 199, 274
01:07, 000%, 0, 025%, -108dBm, 001, 197, 275
01:08, 000%, 0, 025%, -110dBm, 001, 195, 272
01:09, 000%, 0, 025%, -108dBm, 001, 193, 269
01:10, 000%, 0, 025%, -109dBm, 001, 192, 265
01:11, 000%, 0, 025%, -109dBm, 001, 191, 261
01:12, 000%, 0, 025%, -109dBm, 001, 190, 255
01:13, 000%, 0, 025%, -109dBm, 001, 188, 249
01:14, 000%, 0, 025%, -109dBm, 001, 187, 246
01:15, 000%, 0, 025%, -109dBm, 001, 186, 244
01:16, 000%, 0, 025%, -110dBm, 001, 185, 243
01:17, 000%, 0, 025%, -109dBm, 001, 184, 240
01:18, 000%, 0, 025%, -107dBm, 001, 183, 238
01:19, 000%, 0, 025%, -109dBm, 001, 181, 234
01:20, 000%, 0, 025%, -109dBm, 001, 179, 233
01:21, 000%, 0, 025%, -109dBm, 001, 177, 231
01:22, 000%, 1, 025%, -108dBm, 001, 176, 230
01:23, 000%, 1, 025%, -108dBm, 001, 176, 229
01:24, 000%, 0, 025%, -108dBm, 001, 176, 229
01:25, 000%, 0, 025%, -110dBm, 001, 175, 230
01:26, 000%, 0, 025%, -109dBm, 001, 174, 232
01:27, 000%, 0, 025%, -108dBm, 001, 173, 234
01:28, 000%, 0, 025%, -109dBm, 001, 173, 237
01:29, 000%, 0, 025%, -109dBm, 001, 173, 239
01:30, 000%, 0, 025%, -109dBm, 001, 174, 243
01:31, 000%, 0, 025%, -109dBm, 001, 174, 248
01:32, 000%, 0, 025%, -109dBm, 001, 173, 257
01:33, 000%, 0, 025%, -108dBm, 001, 174, 265
01:34, 000%, 0, 025%, -108dBm, 001, 175, 273
01:35, 000%, 0, 025%, -110dBm, 001, 176, 279
01:36, 000%, 1, 025%, -109dBm, 001, 176, 286
01:37, 000%, 1, 025%, -109dBm, 001, 175, 291
01:38, 000%, 0, 025%, -109dBm, 001, 175, 298
01:39, 000%, 0, 025%, -110dBm, 001, 176, 302
01:40, 000%, 0, 025%, -109dBm, 001, 175, 306
01:41, 000%, 0, 025%, -109dBm, 001, 174, 310
01:42, 000%, 0, 025%, -108dBm, 001, 174, 314
01:43, 000%, 0, 025%, -109dBm, 001, 174, 314
01:44, 000%, 0, 025%, -109dBm, 001, 174, 312
01:45, 000%, 0, 025%, -110dBm, 001, 174, 306
01:46, 000%, 0, 025%, -108dBm, 001, 172, 296
