Time, LQI, Audio files, Jeti, RSSI, HOPPING, Altitude, Distance
00:01, 050%, 3, 000%, -29dBm, 001, 6, 9
00:02, 045%, 0, 000%, -48dBm, 001, 9, 14
00:03, 025%, 0, 000%, -63dBm, 001, 23, 27
00:03, 045%, 0, 000%, -65dBm, 001, 23, 27
00:03, 005%, 0, 000%, -72dBm, 001, 23, 27
00:06, 000%, 0, 000%, -77dBm, 001, 49, 52
00:07, 040%, 1, 000%, -68dBm, 001, 56, 62
00:08, 095%, 2, 000%, -65dBm, 001, 65, 72
00:09, 085%, 2, 000%, -64dBm, 001, 74, 81
00:10, 090%, 2, 000%, -55dBm, 001, 84, 90
00:11, 100%, 1, 000%, -56dBm, 001, 92, 100
00:12, 090%, 1, 000%, -61dBm, 001, 101, 107
00:13, 100%, 1, 000%, -61dBm, 001, 109, 119
00:15, 100%, 2, 000%, -62dBm, 001, 118, 127
00:16, 100%, 2, 000%, -66dBm, 001, 126, 139
00:17, 095%, 2, 000%, -59dBm, 001, 135, 150
00:18, 100%, 0, 000%, -61dBm, 001, 144, 159
00:18, 100%, 0, 000%, -61dBm, 001, 146, 161
00:20, 015%, 2, 000%, -67dBm, 001, 163, 174
00:20, 065%, 1, 000%, -61dBm, 001, 173, 177
00:21, 100%, 2, 000%, -61dBm, 001, 179, 173
00:22, 070%, 1, 000%, -64dBm, 001, 189, 158
00:23, 090%, 2, 000%, -54dBm, 001, 193, 139
00:24, 100%, 0, 000%, -56dBm, 001, 196, 128
00:25, 100%, 1, 000%, -54dBm, 001, 196, 133
00:26, 075%, 2, 000%, -61dBm, 001, 197, 136
00:27, 090%, 2, 000%, -55dBm, 001, 200, 135
00:28, 095%, 0, 000%, -53dBm, 001, 199, 131
00:29, 090%, 1, 000%, -53dBm, 001, 199, 123
00:30, 100%, 1, 000%, -50dBm, 001, 197, 114
00:31, 095%, 0, 000%, -48dBm, 001, 195, 104
00:32, 100%, 0, 000%, -49dBm, 001, 192, 92
00:33, 100%, 1, 000%, -50dBm, 001, 188, 80
00:34, 100%, 1, 000%, -50dBm, 001, 186, 72
00:36, 100%, 1, 000%, -49dBm, 001, 186, 71
00:37, 100%, 1, 000%, -51dBm, 001, 188, 74
00:38, 100%, 2, 000%, -56dBm, 001, 189, 78
00:39, 100%, 0, 000%, -56dBm, 001, 190, 86
00:39, 100%, 0, 000%, -58dBm, 001, 189, 95
00:40, 095%, 0, 000%, -58dBm, 001, 188, 105
00:41, 100%, 0, 000%, -55dBm, 001, 187, 113
00:42, 100%, 0, 000%, -57dBm, 001, 186, 115
00:43, 100%, 0, 000%, -49dBm, 001, 183, 114
00:44, 090%, 2, 000%, -48dBm, 001, 180, 109
00:46, 100%, 1, 000%, -49dBm, 001, 177, 104
00:47, 100%, 0, 000%, -50dBm, 001, 177, 104
00:48, 100%, 0, 000%, -50dBm, 001, 178, 105
00:49, 100%, 0, 000%, -56dBm, 001, 179, 106
00:49, 100%, 1, 000%, -54dBm, 001, 179, 104
00:50, 100%, 1, 000%, -53dBm, 001, 178, 102
00:51, 100%, 0, 000%, -50dBm, 001, 177, 99
00:52, 100%, 0, 000%, -45dBm, 001, 178, 93
00:53, 100%, 0, 000%, -45dBm, 001, 179, 87
00:54, 100%, 1, 000%, -52dBm, 001, 182, 86
00:55, 100%, 1, 000%, -54dBm, 001, 182, 90
00:57, 100%, 0, 000%, -50dBm, 001, 183, 98
