Time, LQI, Audio files, Jeti, RSSI, HOPPING, Altitude, Distance
00:01, 000%, 0, 025%, -87dBm, 001, 0, 8
00:02, 000%, 0, 025%, -91dBm, 001, 1, 17
00:03, 000%, 0, 025%, -87dBm, 001, 3, 24
00:04, 000%, 0, 025%, -88dBm, 001, 5, 29
00:05, 000%, 0, 025%, -89dBm, 001, 6, 35
00:06, 000%, 0, 025%, -90dBm, 001, 7, 38
00:07, 000%, 0, 025%, -87dBm, 001, 7, 42
00:08, 000%, 0, 025%, -89dBm, 001, 7, 45
00:09, 000%, 0, 025%, -88dBm, 001, 6, 51
00:10, 000%, 0, 025%, -88dBm, 001, 6, 57
00:11, 000%, 0, 025%, -89dBm, 001, 6, 62
00:12, 000%, 0, 025%, -88dBm, 001, 7, 68
00:13, 000%, 0, 025%, -87dBm, 001, 8, 72
00:14, 000%, 0, 025%, -90dBm, 001, 8, 78
00:15, 000%, 0, 025%, -88dBm, 001, 9, 83
00:15, 000%, 0, 025%, -86dBm, 001, 9, 88
00:17, 000%, 0, 025%, -89dBm, 001, 9, 97
00:18, 000%, 0, 025%, -87dBm, 001, 9, 103
00:19, 000%, 0, 025%, -85dBm, 001, 9, 110
00:20, 000%, 0, 025%, -86dBm, 001, 8, 116
00:21, 000%, 0, 025%, -86dBm, 001, 7, 120
00:22, 000%, 0, 025%, -84dBm, 001, 7, 116
00:23, 000%, 0, 025%, -85dBm, 001, 7, 111
00:24, 000%, 0, 025%, -86dBm, 001, 6, 108
00:25, 000%, 0, 025%, -86dBm, 001, 6, 109
00:26, 000%, 0, 025%, -87dBm, 001, 6, 114
00:27, 000%, 0, 025%, -89dBm, 001, 7, 120
00:28, 000%, 0, 025%, -89dBm, 001, 9, 127
00:28, 000%, 0, 025%, -89dBm, 001, 8, 132
00:29, 000%, 0, 025%, -90dBm, 001, 7, 137
00:31, 000%, 0, 025%, -89dBm, 001, 7, 146
00:32, 000%, 0, 025%, -90dBm, 001, 8, 152
00:32, 000%, 0, 025%, -89dBm, 001, 9, 155
00:33, 000%, 0, 025%, -90dBm, 001, 10, 157
00:35, 000%, 0, 025%, -89dBm, 001, 9, 156
00:35, 000%, 0, 025%, -90dBm, 001, 9, 152
00:36, 000%, 0, 025%, -87dBm, 001, 9, 147
00:37, 000%, 0, 025%, -86dBm, 001, 8, 141
00:39, 000%, 0, 025%, -86dBm, 001, 8, 137
00:40, 000%, 0, 025%, -87dBm, 001, 9, 136
00:41, 000%, 0, 025%, -86dBm, 001, 11, 139
00:42, 000%, 0, 025%, -86dBm, 001, 10, 147
00:43, 000%, 0, 025%, -87dBm, 001, 10, 154
00:44, 000%, 0, 025%, -89dBm, 001, 11, 164
00:44, 000%, 0, 025%, -87dBm, 001, 12, 169
00:46, 000%, 0, 025%, -88dBm, 001, 12, 173
00:47, 000%, 0, 025%, -87dBm, 001, 11, 167
00:47, 000%, 0, 025%, -89dBm, 001, 11, 157
00:49, 000%, 0, 025%, -89dBm, 001, 14, 136
00:50, 000%, 0, 025%, -89dBm, 001, 15, 124
00:51, 000%, 0, 025%, -89dBm, 001, 17, 124
00:52, 000%, 0, 025%, -89dBm, 001, 17, 131
00:52, 000%, 0, 025%, -88dBm, 001, 16, 139
00:54, 000%, 0, 025%, -88dBm, 001, 16, 144
00:55, 000%, 0, 025%, -89dBm, 001, 16, 140
00:56, 000%, 0, 025%, -87dBm, 001, 15, 127
00:57, 000%, 0, 025%, -89dBm, 001, 16, 107
00:58, 000%, 0, 025%, -89dBm, 001, 20, 90
00:59, 000%, 0, 025%, -89dBm, 001, 24, 85
01:00, 000%, 0, 025%, -89dBm, 001, 25, 86
01:01, 000%, 0, 025%, -87dBm, 001, 23, 88
01:02, 000%, 0, 025%, -88dBm, 001, 21, 94
01:03, 000%, 0, 025%, -89dBm, 001, 19, 86
01:04, 000%, 0, 025%, -89dBm, 001, 21, 68
01:05, 000%, 0, 025%, -89dBm, 001, 23, 52
01:06, 000%, 0, 025%, -88dBm, 001, 24, 54
01:07, 000%, 0, 025%, -88dBm, 001, 25, 67
01:08, 000%, 0, 025%, -89dBm, 001, 27, 78
01:09, 000%, 0, 025%, -90dBm, 001, 29, 83
01:10, 000%, 0, 025%, -90dBm, 001, 28, 89
01:11, 000%, 0, 025%, -90dBm, 001, 29, 97
01:12, 000%, 0, 025%, -91dBm, 001, 32, 104
01:13, 000%, 0, 025%, -90dBm, 001, 31, 113
01:14, 000%, 0, 025%, -90dBm, 001, 32, 122
01:15, 000%, 0, 025%, -90dBm, 001, 32, 132
01:16, 000%, 0, 025%, -89dBm, 001, 33, 142
01:16, 000%, 0, 025%, -90dBm, 001, 33, 148
01:18, 000%, 0, 025%, -86dBm, 001, 35, 156
01:19, 000%, 0, 025%, -85dBm, 001, 36, 163
01:20, 000%, 0, 025%, -87dBm, 001, 36, 168
01:20, 000%, 0, 025%, -90dBm, 001, 35, 171
01:22, 000%, 0, 025%, -89dBm, 001, 33, 173
01:23, 000%, 0, 025%, -89dBm, 001, 34, 165
01:24, 000%, 0, 025%, -90dBm, 001, 34, 152
01:25, 000%, 0, 025%, -90dBm, 001, 31, 135
01:26, 000%, 0, 025%, -88dBm, 001, 27, 117
01:26, 000%, 0, 025%, -90dBm, 001, 25, 101
01:28, 000%, 0, 025%, -88dBm, 001, 22, 77
01:29, 000%, 0, 025%, -89dBm, 001, 21, 62
01:30, 000%, 0, 025%, -90dBm, 001, 22, 57
01:31, 000%, 0, 025%, -89dBm, 001, 24, 60
01:32, 000%, 0, 025%, -89dBm, 001, 25, 64
01:33, 000%, 0, 025%, -89dBm, 001, 25, 72
01:34, 000%, 0, 025%, -90dBm, 001, 26, 78
01:35, 000%, 0, 025%, -89dBm, 001, 29, 84
01:36, 000%, 0, 025%, -89dBm, 001, 31, 90
01:37, 000%, 0, 025%, -89dBm, 001, 33, 95
01:38, 000%, 0, 025%, -90dBm, 001, 34, 100
01:39, 000%, 0, 025%, -88dBm, 001, 36, 103
01:40, 000%, 0, 025%, -90dBm, 001, 37, 107
01:40, 000%, 0, 025%, -89dBm, 001, 40, 111
01:42, 000%, 0, 025%, -89dBm, 001, 42, 115
01:43, 000%, 0, 025%, -89dBm, 001, 43, 117
01:44, 000%, 0, 025%, -89dBm, 001, 42, 118
01:45, 000%, 0, 025%, -89dBm, 001, 41, 120
01:46, 000%, 0, 025%, -89dBm, 001, 40, 123
01:47, 000%, 0, 025%, -90dBm, 001, 39, 130
01:48, 000%, 0, 025%, -89dBm, 001, 38, 139
01:49, 000%, 0, 025%, -90dBm, 001, 39, 148
01:50, 000%, 0, 025%, -89dBm, 001, 41, 155
01:51, 000%, 0, 025%, -89dBm, 001, 42, 161
01:52, 000%, 0, 025%, -89dBm, 001, 43, 165
01:53, 000%, 0, 025%, -89dBm, 001, 42, 168
01:54, 000%, 0, 025%, -90dBm, 001, 41, 171
01:55, 000%, 0, 025%, -90dBm, 001, 42, 175
01:56, 000%, 0, 025%, -90dBm, 001, 43, 178
01:57, 000%, 0, 025%, -89dBm, 001, 43, 182
01:58, 000%, 0, 025%, -90dBm, 001, 42, 186
01:59, 000%, 0, 025%, -91dBm, 001, 42, 188
02:00, 000%, 0, 025%, -90dBm, 001, 43, 188
02:01, 000%, 0, 025%, -89dBm, 001, 44, 182
02:02, 000%, 0, 025%, -87dBm, 001, 44, 170
02:03, 000%, 0, 025%, -88dBm, 001, 44, 156
02:04, 000%, 0, 025%, -80dBm, 001, 43, 141
02:05, 000%, 0, 025%, -80dBm, 001, 42, 129
02:06, 000%, 0, 025%, -82dBm, 001, 43, 125
02:07, 000%, 0, 025%, -86dBm, 001, 43, 139
02:08, 000%, 0, 025%, -90dBm, 001, 44, 148
02:09, 000%, 0, 025%, -91dBm, 001, 46, 155
02:09, 000%, 0, 025%, -89dBm, 001, 47, 162
02:10, 000%, 0, 025%, -90dBm, 001, 49, 168
02:12, 000%, 0, 025%, -91dBm, 001, 49, 174
02:13, 000%, 0, 025%, -91dBm, 001, 49, 179
02:13, 000%, 0, 025%, -90dBm, 001, 49, 186
02:15, 000%, 0, 025%, -90dBm, 001, 49, 194
02:15, 000%, 0, 025%, -87dBm, 001, 49, 201
02:16, 000%, 0, 025%, -86dBm, 001, 50, 209
02:18, 000%, 0, 025%, -86dBm, 001, 51, 218
02:19, 000%, 1, 025%, -89dBm, 001, 52, 224
02:20, 000%, 1, 025%, -87dBm, 001, 52, 226
02:21, 000%, 2, 025%, -87dBm, 001, 52, 220
02:21, 000%, 0, 025%, -89dBm, 001, 52, 208
02:23, 000%, 0, 025%, -89dBm, 001, 52, 191
02:24, 000%, 0, 025%, -89dBm, 001, 52, 184
02:25, 000%, 0, 025%, -89dBm, 001, 53, 187
02:25, 000%, 0, 025%, -90dBm, 001, 55, 195
02:26, 000%, 0, 025%, -89dBm, 001, 57, 204
02:27, 000%, 0, 025%, -89dBm, 001, 59, 212
02:29, 000%, 0, 025%, -89dBm, 001, 61, 220
02:30, 000%, 0, 025%, -88dBm, 001, 63, 226
02:31, 000%, 0, 025%, -89dBm, 001, 65, 233
02:32, 000%, 0, 025%, -89dBm, 001, 66, 239
02:32, 000%, 0, 025%, -89dBm, 001, 66, 244
02:34, 000%, 0, 025%, -89dBm, 001, 67, 252
02:35, 000%, 0, 025%, -90dBm, 001, 69, 257
02:36, 000%, 0, 025%, -89dBm, 001, 70, 261
02:36, 000%, 0, 025%, -89dBm, 001, 71, 260
02:38, 000%, 0, 025%, -88dBm, 001, 72, 252
02:38, 000%, 0, 025%, -88dBm, 001, 73, 242
02:40, 000%, 0, 025%, -88dBm, 001, 73, 226
02:40, 000%, 0, 025%, -87dBm, 001, 71, 219
02:41, 000%, 0, 025%, -87dBm, 001, 70, 221
02:43, 000%, 0, 025%, -87dBm, 001, 72, 230
02:43, 000%, 0, 025%, -89dBm, 001, 74, 238
02:45, 000%, 0, 025%, -89dBm, 001, 75, 245
02:46, 000%, 0, 025%, -88dBm, 001, 76, 240
02:47, 000%, 0, 025%, -89dBm, 001, 76, 226
02:48, 000%, 0, 025%, -89dBm, 001, 76, 211
02:49, 000%, 0, 025%, -88dBm, 001, 77, 207
02:50, 000%, 0, 025%, -88dBm, 001, 77, 212
02:51, 000%, 0, 025%, -88dBm, 001, 78, 220
02:52, 000%, 0, 025%, -90dBm, 001, 78, 224
02:53, 000%, 0, 025%, -89dBm, 001, 81, 220
02:54, 000%, 0, 025%, -88dBm, 001, 83, 207
02:55, 000%, 0, 025%, -89dBm, 001, 82, 192
02:56, 000%, 0, 025%, -89dBm, 001, 80, 182
02:57, 000%, 0, 025%, -89dBm, 001, 82, 183
02:58, 000%, 0, 025%, -89dBm, 001, 86, 190
02:59, 000%, 0, 025%, -90dBm, 001, 90, 196
03:00, 000%, 0, 025%, -90dBm, 001, 91, 196
03:01, 000%, 0, 025%, -90dBm, 001, 89, 189
03:02, 000%, 0, 025%, -90dBm, 001, 89, 173
03:03, 000%, 0, 025%, -90dBm, 001, 92, 158
03:04, 000%, 0, 025%, -89dBm, 001, 94, 150
03:05, 000%, 0, 025%, -89dBm, 001, 95, 149
03:06, 000%, 0, 025%, -90dBm, 001, 96, 150
03:07, 000%, 0, 025%, -91dBm, 001, 94, 155
03:08, 000%, 0, 025%, -89dBm, 001, 93, 161
03:09, 000%, 0, 025%, -89dBm, 001, 92, 166
03:10, 000%, 0, 025%, -89dBm, 001, 89, 169
03:11, 000%, 0, 025%, -90dBm, 001, 87, 174
03:12, 000%, 0, 025%, -89dBm, 001, 86, 180
03:13, 000%, 0, 025%, -89dBm, 001, 85, 188
03:14, 000%, 0, 025%, -90dBm, 001, 83, 195
03:15, 000%, 0, 025%, -90dBm, 001, 81, 202
03:16, 000%, 0, 025%, -89dBm, 001, 80, 206
03:17, 000%, 0, 025%, -89dBm, 001, 80, 208
03:18, 000%, 0, 025%, -90dBm, 001, 79, 207
03:19, 000%, 0, 025%, -88dBm, 001, 79, 204
03:20, 000%, 0, 025%, -89dBm, 001, 82, 202
03:21, 000%, 0, 025%, -89dBm, 001, 83, 201
03:22, 000%, 0, 025%, -90dBm, 001, 84, 202
03:23, 000%, 0, 025%, -88dBm, 001, 84, 205
03:24, 000%, 0, 025%, -85dBm, 001, 85, 210
03:25, 000%, 0, 025%, -85dBm, 001, 85, 215
03:26, 000%, 0, 025%, -86dBm, 001, 84, 221
03:26, 000%, 0, 025%, -85dBm, 001, 83, 226
03:28, 000%, 0, 025%, -86dBm, 001, 80, 234
03:29, 000%, 0, 025%, -87dBm, 001, 80, 242
03:30, 000%, 0, 025%, -86dBm, 001, 80, 248
03:31, 000%, 0, 025%, -87dBm, 001, 80, 253
03:32, 000%, 0, 025%, -86dBm, 001, 79, 257
03:33, 000%, 0, 025%, -89dBm, 001, 80, 264
03:34, 000%, 0, 025%, -88dBm, 001, 81, 268
03:35, 000%, 0, 025%, -89dBm, 001, 82, 274
03:36, 000%, 0, 025%, -90dBm, 001, 82, 277
03:37, 000%, 0, 025%, -88dBm, 001, 82, 279
03:38, 000%, 0, 025%, -89dBm, 001, 81, 278
03:39, 000%, 0, 025%, -90dBm, 001, 82, 270
03:40, 000%, 0, 025%, -89dBm, 001, 80, 256
03:41, 000%, 0, 025%, -89dBm, 001, 79, 241
03:42, 000%, 0, 025%, -90dBm, 001, 80, 237
03:43, 000%, 0, 025%, -90dBm, 001, 82, 241
03:44, 000%, 0, 025%, -90dBm, 001, 82, 246
03:45, 000%, 0, 025%, -90dBm, 001, 80, 247
03:46, 000%, 0, 025%, -88dBm, 001, 82, 238
03:46, 000%, 0, 025%, -89dBm, 001, 84, 226
03:48, 000%, 0, 025%, -90dBm, 001, 84, 206
03:49, 000%, 0, 025%, -90dBm, 001, 82, 204
03:50, 000%, 0, 025%, -89dBm, 001, 84, 211
03:51, 000%, 0, 025%, -90dBm, 001, 85, 218
03:52, 000%, 0, 025%, -89dBm, 001, 85, 223
03:53, 000%, 0, 025%, -90dBm, 001, 83, 223
03:54, 000%, 0, 025%, -90dBm, 001, 84, 216
03:55, 000%, 0, 025%, -90dBm, 001, 87, 202
03:56, 000%, 0, 025%, -90dBm, 001, 88, 188
03:57, 000%, 0, 025%, -90dBm, 001, 85, 180
03:58, 000%, 0, 025%, -90dBm, 001, 82, 184
03:58, 000%, 0, 025%, -90dBm, 001, 83, 191
04:00, 000%, 0, 025%, -90dBm, 001, 85, 201
04:01, 000%, 0, 025%, -89dBm, 001, 86, 208
04:02, 000%, 0, 025%, -89dBm, 001, 84, 212
04:03, 000%, 0, 025%, -88dBm, 001, 83, 216
04:04, 000%, 0, 025%, -90dBm, 001, 84, 222
04:05, 000%, 0, 025%, -89dBm, 001, 86, 231
04:06, 000%, 0, 025%, -86dBm, 001, 87, 238
04:07, 000%, 1, 025%, -89dBm, 001, 89, 244
04:08, 000%, 2, 025%, -89dBm, 001, 89, 250
04:09, 000%, 1, 025%, -90dBm, 001, 89, 253
04:10, 000%, 0, 025%, -84dBm, 001, 89, 252
04:11, 000%, 0, 025%, -90dBm, 001, 90, 245
04:12, 000%, 0, 025%, -88dBm, 001, 90, 232
04:13, 000%, 0, 025%, -90dBm, 001, 89, 215
04:14, 000%, 0, 025%, -90dBm, 001, 87, 200
04:15, 000%, 0, 025%, -89dBm, 001, 87, 195
04:15, 000%, 0, 025%, -90dBm, 001, 89, 206
04:16, 000%, 0, 025%, -90dBm, 001, 92, 218
04:18, 000%, 0, 025%, -90dBm, 001, 94, 227
04:18, 000%, 0, 025%, -90dBm, 001, 94, 228
04:20, 000%, 0, 025%, -90dBm, 001, 92, 223
04:21, 000%, 0, 025%, -90dBm, 001, 91, 205
04:22, 000%, 0, 025%, -90dBm, 001, 92, 189
04:22, 000%, 0, 025%, -91dBm, 001, 92, 182
04:24, 000%, 0, 025%, -90dBm, 001, 93, 185
04:24, 000%, 0, 025%, -89dBm, 001, 94, 196
04:26, 000%, 0, 025%, -90dBm, 001, 92, 205
04:27, 000%, 0, 025%, -90dBm, 001, 90, 203
04:28, 000%, 0, 025%, -89dBm, 001, 89, 190
04:29, 000%, 0, 025%, -90dBm, 001, 88, 173
04:30, 000%, 0, 025%, -90dBm, 001, 88, 162
04:31, 000%, 0, 025%, -90dBm, 001, 88, 164
04:32, 000%, 0, 025%, -90dBm, 001, 89, 174
04:33, 000%, 0, 025%, -89dBm, 001, 90, 184
04:34, 000%, 0, 025%, -90dBm, 001, 91, 193
04:35, 000%, 0, 025%, -89dBm, 001, 93, 201
04:36, 000%, 0, 025%, -90dBm, 001, 94, 208
04:37, 000%, 0, 025%, -90dBm, 001, 95, 215
04:38, 000%, 0, 025%, -90dBm, 001, 93, 222
04:38, 000%, 0, 025%, -90dBm, 001, 92, 227
04:39, 000%, 0, 025%, -90dBm, 001, 90, 233
04:40, 000%, 0, 025%, -89dBm, 001, 90, 238
04:42, 000%, 0, 025%, -89dBm, 001, 89, 250
04:42, 000%, 0, 025%, -90dBm, 001, 88, 255
04:44, 000%, 0, 025%, -90dBm, 001, 86, 261
04:45, 000%, 0, 025%, -90dBm, 001, 85, 264
04:46, 000%, 0, 025%, -90dBm, 001, 86, 268
04:46, 000%, 0, 025%, -90dBm, 001, 89, 270
04:48, 000%, 0, 025%, -89dBm, 001, 92, 274
04:48, 000%, 0, 025%, -86dBm, 001, 93, 277
04:50, 000%, 0, 025%, -88dBm, 001, 94, 280
04:50, 000%, 0, 025%, -89dBm, 001, 96, 281
04:52, 000%, 0, 025%, -87dBm, 001, 98, 281
04:52, 000%, 0, 025%, -89dBm, 001, 99, 279
04:54, 000%, 0, 025%, -89dBm, 001, 99, 277
04:54, 000%, 0, 025%, -89dBm, 001, 100, 276
04:55, 000%, 0, 025%, -81dBm, 001, 100, 277
04:56, 000%, 0, 025%, -83dBm, 001, 101, 280
04:58, 000%, 0, 025%, -82dBm, 001, 103, 283
04:58, 000%, 0, 025%, -89dBm, 001, 102, 286
04:59, 000%, 0, 025%, -90dBm, 001, 104, 293
05:00, 000%, 0, 025%, -90dBm, 001, 107, 299
05:01, 000%, 0, 025%, -89dBm, 001, 109, 304
05:02, 000%, 0, 025%, -90dBm, 001, 111, 304
05:04, 000%, 0, 025%, -90dBm, 001, 112, 291
05:05, 000%, 0, 025%, -89dBm, 001, 115, 276
05:05, 000%, 0, 025%, -89dBm, 001, 117, 267
05:07, 000%, 0, 025%, -90dBm, 001, 118, 265
05:08, 000%, 0, 025%, -89dBm, 001, 117, 272
05:09, 000%, 0, 025%, -90dBm, 001, 119, 279
05:09, 000%, 0, 025%, -90dBm, 001, 120, 286
05:11, 000%, 0, 025%, -90dBm, 001, 120, 282
05:11, 000%, 0, 025%, -88dBm, 001, 120, 267
05:13, 000%, 0, 025%, -86dBm, 001, 117, 251
05:14, 000%, 0, 025%, -89dBm, 001, 112, 243
05:15, 000%, 0, 025%, -89dBm, 001, 107, 249
05:16, 000%, 0, 025%, -89dBm, 001, 105, 264
05:17, 000%, 0, 025%, -89dBm, 001, 108, 274
05:18, 000%, 0, 025%, -89dBm, 001, 113, 285
05:19, 000%, 0, 025%, -89dBm, 001, 116, 289
05:20, 000%, 0, 025%, -89dBm, 001, 118, 291
05:21, 000%, 0, 025%, -89dBm, 001, 117, 291
05:22, 000%, 0, 025%, -90dBm, 001, 116, 284
05:23, 000%, 0, 025%, -89dBm, 001, 115, 276
05:24, 000%, 0, 025%, -90dBm, 001, 115, 267
05:25, 000%, 0, 025%, -89dBm, 001, 115, 262
05:26, 000%, 0, 025%, -89dBm, 001, 115, 262
05:27, 000%, 0, 025%, -89dBm, 001, 114, 265
05:28, 000%, 0, 025%, -89dBm, 001, 112, 269
05:29, 000%, 0, 025%, -90dBm, 001, 112, 271
05:30, 000%, 0, 025%, -91dBm, 001, 111, 269
05:30, 000%, 0, 025%, -90dBm, 001, 110, 263
05:32, 000%, 0, 025%, -89dBm, 001, 107, 250
05:32, 000%, 0, 025%, -89dBm, 001, 105, 236
05:34, 000%, 0, 025%, -88dBm, 001, 103, 218
05:35, 000%, 0, 025%, -89dBm, 001, 104, 197
05:36, 000%, 0, 025%, -89dBm, 001, 105, 183
05:37, 000%, 0, 025%, -89dBm, 001, 102, 173
05:38, 000%, 0, 025%, -90dBm, 001, 99, 165
05:39, 000%, 0, 025%, -87dBm, 001, 88, 162
05:40, 000%, 0, 025%, -90dBm, 001, 84, 167
05:41, 000%, 0, 025%, -89dBm, 001, 88, 181
05:41, 000%, 0, 025%, -88dBm, 001, 90, 192
05:43, 000%, 0, 025%, -89dBm, 001, 90, 210
05:44, 000%, 0, 025%, -89dBm, 001, 90, 222
05:45, 000%, 0, 025%, -88dBm, 001, 90, 236
05:46, 000%, 0, 025%, -89dBm, 001, 89, 243
05:47, 000%, 0, 025%, -89dBm, 001, 87, 246
05:48, 000%, 0, 025%, -86dBm, 001, 92, 249
05:49, 000%, 0, 025%, -87dBm, 001, 95, 256
05:50, 000%, 0, 025%, -89dBm, 001, 94, 263
05:51, 000%, 0, 025%, -88dBm, 001, 92, 269
05:52, 000%, 0, 025%, -88dBm, 001, 89, 271
05:53, 000%, 0, 025%, -87dBm, 001, 85, 270
05:54, 000%, 0, 025%, -85dBm, 001, 83, 262
05:55, 000%, 0, 025%, -88dBm, 001, 84, 250
05:56, 000%, 0, 025%, -87dBm, 001, 84, 238
05:57, 000%, 0, 025%, -86dBm, 001, 84, 224
05:58, 000%, 0, 025%, -84dBm, 001, 82, 211
05:58, 000%, 0, 025%, -85dBm, 001, 80, 200
06:00, 000%, 0, 025%, -85dBm, 001, 77, 183
06:01, 000%, 0, 025%, -85dBm, 001, 75, 173
06:02, 000%, 0, 025%, -84dBm, 001, 74, 167
06:03, 000%, 0, 025%, -87dBm, 001, 74, 162
06:04, 000%, 0, 025%, -86dBm, 001, 74, 158
06:05, 000%, 0, 025%, -85dBm, 001, 74, 154
06:06, 000%, 0, 025%, -86dBm, 001, 73, 150
06:07, 000%, 0, 025%, -85dBm, 001, 71, 147
06:07, 000%, 0, 025%, -86dBm, 001, 70, 146
06:09, 000%, 0, 025%, -85dBm, 001, 68, 148
06:10, 000%, 0, 025%, -86dBm, 001, 67, 153
06:11, 000%, 0, 025%, -85dBm, 001, 68, 156
06:12, 000%, 0, 025%, -86dBm, 001, 68, 160
06:13, 000%, 0, 025%, -85dBm, 001, 67, 162
06:13, 000%, 0, 025%, -84dBm, 001, 67, 164
06:15, 000%, 0, 025%, -86dBm, 001, 66, 166
06:16, 000%, 0, 025%, -86dBm, 001, 65, 171
06:17, 000%, 0, 025%, -86dBm, 001, 64, 174
06:18, 000%, 0, 025%, -87dBm, 001, 63, 177
06:19, 000%, 0, 025%, -87dBm, 001, 62, 180
06:19, 000%, 0, 025%, -89dBm, 001, 60, 181
06:21, 000%, 0, 025%, -89dBm, 001, 59, 184
06:22, 000%, 0, 025%, -90dBm, 001, 58, 187
06:23, 000%, 0, 025%, -90dBm, 001, 57, 188
06:24, 000%, 0, 025%, -89dBm, 001, 55, 191
06:24, 000%, 0, 025%, -90dBm, 001, 54, 192
06:26, 000%, 0, 025%, -90dBm, 001, 52, 195
06:27, 000%, 0, 025%, -89dBm, 001, 51, 199
06:28, 000%, 0, 025%, -90dBm, 001, 50, 205
06:28, 000%, 0, 025%, -89dBm, 001, 50, 209
06:29, 000%, 0, 025%, -90dBm, 001, 50, 213
06:30, 000%, 0, 025%, -89dBm, 001, 51, 220
06:31, 000%, 0, 025%, -90dBm, 001, 52, 224
06:32, 000%, 0, 025%, -89dBm, 001, 52, 228
