Time, LQI, Audio files, Jeti, RSSI, HOPPING, Altitude, Distance
00:01, 050%, 0, 025%, -32dBm, 001, 0, 8
00:02, 010%, 0, 025%, -54dBm, 001, -1, 17
00:03, 050%, 0, 020%, -56dBm, 001, -2, 27
00:04, 050%, 0, 025%, -63dBm, 001, -1, 36
00:05, 055%, 0, 025%, -62dBm, 001, 0, 44
00:06, 090%, 0, 025%, -63dBm, 001, 1, 53
00:07, 090%, 0, 025%, -59dBm, 001, 3, 60
00:08, 095%, 0, 025%, -58dBm, 001, 3, 69
00:09, 095%, 0, 025%, -61dBm, 001, 4, 78
00:10, 100%, 0, 025%, -57dBm, 001, 5, 84
00:11, 100%, 0, 025%, -53dBm, 001, 5, 92
00:12, 100%, 0, 025%, -52dBm, 001, 7, 96
00:12, 100%, 0, 025%, -51dBm, 001, 7, 94
00:13, 100%, 0, 025%, -41dBm, 001, 8, 88
00:14, 100%, 0, 025%, -47dBm, 001, 8, 76
00:15, 085%, 0, 025%, -51dBm, 001, 9, 65
00:17, 100%, 0, 025%, -58dBm, 001, 7, 60
00:18, 095%, 0, 025%, -58dBm, 001, 7, 62
00:19, 090%, 0, 025%, -58dBm, 001, 7, 67
00:20, 100%, 0, 025%, -59dBm, 001, 7, 74
00:21, 100%, 0, 025%, -54dBm, 001, 7, 83
00:22, 100%, 0, 025%, -55dBm, 001, 7, 91
00:23, 095%, 0, 025%, -56dBm, 001, 6, 101
00:24, 105%, 0, 025%, -44dBm, 001, 7, 108
00:25, 095%, 0, 025%, -44dBm, 001, 6, 115
00:26, 105%, 0, 025%, -48dBm, 001, 5, 122
00:27, 100%, 0, 025%, -48dBm, 001, 6, 130
00:28, 100%, 0, 025%, -53dBm, 001, 6, 137
00:29, 100%, 0, 025%, -51dBm, 001, 6, 147
00:30, 100%, 0, 025%, -52dBm, 001, 6, 155
00:31, 095%, 0, 025%, -57dBm, 001, 6, 164
00:32, 085%, 0, 025%, -63dBm, 001, 7, 170
00:33, 070%, 0, 025%, -52dBm, 001, 6, 171
00:34, 100%, 0, 025%, -49dBm, 001, 6, 170
00:35, 090%, 0, 025%, -43dBm, 001, 7, 161
00:36, 090%, 0, 025%, -39dBm, 001, 7, 149
00:37, 100%, 0, 025%, -40dBm, 001, 6, 135
00:38, 100%, 0, 025%, -48dBm, 001, 7, 133
00:39, 085%, 0, 025%, -48dBm, 001, 7, 141
00:40, 105%, 0, 025%, -54dBm, 001, 6, 148
00:41, 045%, 0, 025%, -60dBm, 001, 7, 156
00:42, 105%, 0, 025%, -49dBm, 001, 7, 158
00:43, 100%, 0, 025%, -49dBm, 001, 6, 157
00:44, 100%, 0, 025%, -40dBm, 001, 6, 148
00:45, 100%, 0, 025%, -37dBm, 001, 6, 134
00:46, 100%, 0, 025%, -39dBm, 001, 7, 119
00:47, 100%, 0, 025%, -45dBm, 001, 6, 115
00:48, 100%, 0, 025%, -45dBm, 001, 7, 121
00:49, 095%, 0, 025%, -50dBm, 001, 9, 130
00:50, 105%, 0, 025%, -54dBm, 001, 9, 137
00:51, 090%, 0, 025%, -58dBm, 001, 9, 142
00:52, 100%, 0, 025%, -49dBm, 001, 9, 141
00:53, 100%, 0, 025%, -42dBm, 001, 10, 133
00:54, 090%, 0, 025%, -38dBm, 001, 11, 121
00:55, 100%, 0, 025%, -38dBm, 001, 11, 108
00:56, 100%, 0, 025%, -45dBm, 001, 10, 101
00:57, 100%, 0, 025%, -52dBm, 001, 11, 104
00:58, 100%, 0, 025%, -55dBm, 001, 13, 111
00:59, 100%, 0, 025%, -53dBm, 001, 15, 118
01:00, 100%, 0, 025%, -54dBm, 001, 15, 124
01:02, 100%, 0, 025%, -51dBm, 001, 15, 125
01:03, 090%, 0, 025%, -48dBm, 001, 17, 123
01:04, 100%, 0, 025%, -46dBm, 001, 19, 116
01:05, 095%, 0, 025%, -47dBm, 001, 19, 106
01:06, 095%, 0, 025%, -47dBm, 001, 17, 97
01:07, 090%, 0, 025%, -49dBm, 001, 18, 94
01:07, 100%, 0, 025%, -58dBm, 001, 20, 99
01:08, 100%, 0, 020%, -52dBm, 001, 20, 105
01:09, 100%, 0, 025%, -54dBm, 001, 19, 112
01:10, 100%, 0, 025%, -50dBm, 001, 19, 116
01:11, 100%, 0, 025%, -51dBm, 001, 19, 118
01:12, 090%, 0, 025%, -50dBm, 001, 19, 118
01:13, 100%, 0, 025%, -48dBm, 001, 20, 118
01:14, 100%, 0, 025%, -48dBm, 001, 20, 120
01:15, 090%, 0, 025%, -47dBm, 001, 20, 123
01:16, 100%, 0, 025%, -46dBm, 001, 18, 128
01:17, 090%, 0, 025%, -46dBm, 001, 18, 135
01:18, 100%, 0, 025%, -47dBm, 001, 17, 143
01:19, 100%, 0, 025%, -50dBm, 001, 17, 152
01:21, 100%, 0, 025%, -52dBm, 001, 18, 158
01:22, 100%, 0, 025%, -50dBm, 001, 17, 166
01:23, 100%, 0, 025%, -51dBm, 001, 17, 174
01:24, 100%, 0, 025%, -52dBm, 001, 17, 180
01:25, 100%, 0, 025%, -53dBm, 001, 17, 186
01:26, 100%, 0, 025%, -52dBm, 001, 18, 193
01:27, 100%, 0, 025%, -51dBm, 001, 18, 196
01:28, 100%, 0, 025%, -53dBm, 001, 16, 197
01:28, 100%, 0, 025%, -49dBm, 001, 16, 195
01:29, 100%, 0, 025%, -58dBm, 001, 16, 191
01:30, 100%, 0, 025%, -45dBm, 001, 17, 184
01:31, 100%, 0, 025%, -45dBm, 001, 18, 175
01:32, 100%, 0, 025%, -47dBm, 001, 17, 163
01:33, 095%, 0, 025%, -51dBm, 001, 16, 152
